date,channel,campaign,impressions,clicks,spend,conversions,revenue
2025-12-30,Google Ads,Prospecting,30693,932,1253.93,39,3269.39
2025-12-30,Google Ads,Retargeting,8690,559,632.27,51,4296.81
2025-12-30,LinkedIn Ads,Prospecting,12197,67,362.88,1,384.54
2025-12-30,LinkedIn Ads,Retargeting,5030,42,233.55,2,983.29
2025-12-30,Meta Ads,Lookalike,30644,349,269.95,8,595.8
2025-12-30,Meta Ads,Prospecting,49325,537,379.7,5,384.09
2025-12-30,Meta Ads,Retargeting,17802,408,313.15,21,1722.82
2025-12-30,TikTok Ads,Lookalike,60377,579,187.78,9,412.95
2025-12-30,TikTok Ads,Prospecting,78835,736,244.35,2,94.99
2025-12-30,TikTok Ads,Retargeting,30334,483,135.93,17,938.38
2025-12-31,Google Ads,Brand Search,5658,516,576.97,53,5063.31
2025-12-31,Google Ads,Lookalike,19262,794,1094.0,34,3272.17
2025-12-31,Google Ads,Prospecting,27463,798,939.78,28,2262.92
2025-12-31,Google Ads,Retargeting,7583,428,548.2,59,5433.69
2025-12-31,LinkedIn Ads,Prospecting,10317,47,234.25,1,305.07
2025-12-31,LinkedIn Ads,Retargeting,5470,55,302.54,2,892.2
2025-12-31,Meta Ads,Lookalike,33944,418,328.3,14,953.88
2025-12-31,Meta Ads,Prospecting,58172,626,560.92,17,1090.39
2025-12-31,Meta Ads,Retargeting,20818,424,296.19,26,1849.08
2025-12-31,TikTok Ads,Lookalike,39065,362,140.29,3,166.28
2025-12-31,TikTok Ads,Prospecting,75779,634,263.51,8,301.33
2025-12-31,TikTok Ads,Retargeting,36437,548,179.09,14,884.09
2026-01-01,Google Ads,Brand Search,8200,762,862.04,95,9207.79
2026-01-01,Google Ads,Lookalike,21773,905,1077.56,49,4343.75
2026-01-01,Google Ads,Prospecting,24877,662,806.53,25,2176.01
2026-01-01,Google Ads,Retargeting,7301,435,501.93,44,4382.77
2026-01-01,LinkedIn Ads,Prospecting,14206,72,420.22,1,387.74
2026-01-01,LinkedIn Ads,Retargeting,5360,57,298.74,0,0.0
2026-01-01,Meta Ads,Lookalike,37490,497,420.76,15,993.85
2026-01-01,Meta Ads,Prospecting,43622,487,311.11,6,354.05
2026-01-01,Meta Ads,Retargeting,16884,341,281.04,17,1430.38
2026-01-01,TikTok Ads,Lookalike,50305,532,216.7,6,277.02
2026-01-01,TikTok Ads,Prospecting,80957,634,210.42,5,263.66
2026-01-01,TikTok Ads,Retargeting,23419,340,109.93,8,441.17
2026-01-02,Google Ads,Brand Search,6852,559,787.34,65,5114.01
2026-01-02,Google Ads,Lookalike,17762,722,802.05,43,3961.22
2026-01-02,Google Ads,Prospecting,17795,562,570.32,24,2060.78
2026-01-02,Google Ads,Retargeting,6631,391,467.76,33,2966.13
2026-01-02,LinkedIn Ads,Prospecting,10909,52,294.45,1,385.29
2026-01-02,LinkedIn Ads,Retargeting,4690,53,330.17,0,0.0
2026-01-02,Meta Ads,Lookalike,29454,416,346.8,12,1011.66
2026-01-02,Meta Ads,Prospecting,40413,403,331.98,8,453.84
2026-01-02,Meta Ads,Retargeting,14996,304,209.64,17,1474.48
2026-01-02,TikTok Ads,Lookalike,40017,416,139.75,9,438.72
2026-01-02,TikTok Ads,Prospecting,62247,541,184.62,9,452.23
2026-01-02,TikTok Ads,Retargeting,28161,488,178.46,12,626.14
2026-01-03,Google Ads,Brand Search,5837,421,472.07,53,5358.0
2026-01-03,Google Ads,Lookalike,14561,608,649.71,31,2989.11
2026-01-03,Google Ads,Prospecting,22841,652,769.02,16,1384.94
2026-01-03,Google Ads,Retargeting,6797,429,569.56,36,3305.13
2026-01-03,LinkedIn Ads,Prospecting,12036,56,322.18,0,0.0
2026-01-03,LinkedIn Ads,Retargeting,3856,50,238.43,1,322.62
2026-01-03,Meta Ads,Lookalike,25361,300,229.67,9,468.79
2026-01-03,Meta Ads,Prospecting,41733,483,412.54,8,573.18
2026-01-03,Meta Ads,Retargeting,17546,342,267.72,19,1432.68
2026-01-03,TikTok Ads,Lookalike,51757,528,203.48,9,418.55
2026-01-03,TikTok Ads,Prospecting,87552,800,277.07,10,456.59
2026-01-03,TikTok Ads,Retargeting,19466,353,121.78,6,339.71
2026-01-04,Google Ads,Brand Search,5237,411,523.02,43,3952.03
2026-01-04,Google Ads,Lookalike,14866,586,681.96,30,2907.51
2026-01-04,Google Ads,Prospecting,26591,839,1280.63,29,2372.95
2026-01-04,Google Ads,Retargeting,8073,435,513.81,27,2371.64
2026-01-04,LinkedIn Ads,Prospecting,13419,67,333.93,0,0.0
2026-01-04,LinkedIn Ads,Retargeting,3716,30,185.84,0,0.0
2026-01-04,Meta Ads,Lookalike,26620,375,251.06,18,1162.75
2026-01-04,Meta Ads,Prospecting,47517,457,333.12,13,1006.05
2026-01-04,Meta Ads,Retargeting,14530,272,230.03,13,1032.45
2026-01-04,TikTok Ads,Lookalike,38729,380,137.62,7,349.55
2026-01-04,TikTok Ads,Prospecting,59840,499,160.96,2,84.71
2026-01-04,TikTok Ads,Retargeting,26247,439,133.9,10,516.5
2026-01-05,Google Ads,Brand Search,4912,386,494.15,53,6066.17
2026-01-05,Google Ads,Lookalike,25630,906,1268.24,42,2823.95
2026-01-05,Google Ads,Prospecting,24798,741,865.53,20,1703.27
2026-01-05,Google Ads,Retargeting,8072,475,624.7,41,3909.09
2026-01-05,LinkedIn Ads,Prospecting,15729,74,347.78,0,0.0
2026-01-05,LinkedIn Ads,Retargeting,4205,44,273.63,2,722.3
2026-01-05,Meta Ads,Lookalike,34993,424,316.45,13,865.05
2026-01-05,Meta Ads,Prospecting,55795,510,429.05,13,679.08
2026-01-05,Meta Ads,Retargeting,21960,485,387.34,30,2376.32
2026-01-05,TikTok Ads,Lookalike,51145,508,185.98,10,488.76
2026-01-05,TikTok Ads,Prospecting,78090,712,232.44,14,680.06
2026-01-05,TikTok Ads,Retargeting,33608,576,169.07,17,1008.0
2026-01-06,Google Ads,Brand Search,5759,446,498.03,67,6233.95
2026-01-06,Google Ads,Lookalike,23204,903,1118.54,51,4321.65
2026-01-06,Google Ads,Prospecting,27067,811,881.52,20,1511.44
2026-01-06,Google Ads,Retargeting,9945,538,664.93,51,4309.25
2026-01-06,LinkedIn Ads,Prospecting,11858,63,335.34,0,0.0
2026-01-06,LinkedIn Ads,Retargeting,3899,34,192.72,1,426.15
2026-01-06,Meta Ads,Lookalike,31028,419,397.71,14,1229.44
2026-01-06,Meta Ads,Prospecting,47218,544,410.8,16,1097.92
2026-01-06,Meta Ads,Retargeting,17741,349,257.23,14,1090.07
2026-01-06,TikTok Ads,Lookalike,62207,641,243.26,10,504.79
2026-01-06,TikTok Ads,Prospecting,70155,638,196.17,8,450.69
2026-01-06,TikTok Ads,Retargeting,25320,442,136.98,10,598.32
2026-01-07,Google Ads,Brand Search,5636,481,496.17,58,5946.51
2026-01-07,Google Ads,Lookalike,15415,567,750.97,27,2315.28
2026-01-07,Google Ads,Prospecting,27973,823,1121.2,25,2359.29
2026-01-07,Google Ads,Retargeting,9584,585,781.48,55,5645.19
2026-01-07,LinkedIn Ads,Prospecting,14165,78,405.86,2,740.2
2026-01-07,LinkedIn Ads,Retargeting,4070,32,157.09,1,310.33
2026-01-07,Meta Ads,Lookalike,31335,404,336.17,16,973.98
2026-01-07,Meta Ads,Prospecting,40799,361,270.85,6,408.34
2026-01-07,Meta Ads,Retargeting,18532,362,316.21,15,994.38
2026-01-07,TikTok Ads,Lookalike,57906,659,220.35,8,404.08
2026-01-07,TikTok Ads,Prospecting,74455,586,184.39,6,237.38
2026-01-07,TikTok Ads,Retargeting,31519,442,151.5,5,294.31
2026-01-08,Google Ads,Brand Search,6396,497,464.06,52,5725.51
2026-01-08,Google Ads,Lookalike,13903,566,622.83,29,2488.49
2026-01-08,Google Ads,Prospecting,25001,725,831.3,22,2021.82
2026-01-08,Google Ads,Retargeting,6029,378,389.9,28,2930.9
2026-01-08,LinkedIn Ads,Prospecting,13157,73,348.88,0,0.0
2026-01-08,LinkedIn Ads,Retargeting,5488,51,289.15,1,381.49
2026-01-08,Meta Ads,Lookalike,30255,402,298.83,8,587.83
2026-01-08,Meta Ads,Prospecting,47614,486,425.76,14,825.5
2026-01-08,Meta Ads,Retargeting,14585,270,197.98,13,1222.74
2026-01-08,TikTok Ads,Lookalike,50608,535,172.74,6,261.85
2026-01-08,TikTok Ads,Prospecting,62652,530,188.69,5,224.56
2026-01-08,TikTok Ads,Retargeting,28654,465,164.46,10,651.7
2026-01-09,Google Ads,Brand Search,5583,446,653.59,52,5164.62
2026-01-09,Google Ads,Lookalike,18583,666,725.25,39,3001.24
2026-01-09,Google Ads,Prospecting,22675,743,999.77,24,1850.4
2026-01-09,Google Ads,Retargeting,8855,503,484.71,37,3531.3
2026-01-09,LinkedIn Ads,Prospecting,12341,66,397.63,0,0.0
2026-01-09,LinkedIn Ads,Retargeting,5067,52,293.44,6,1946.04
2026-01-09,Meta Ads,Lookalike,31486,442,372.87,7,480.49
2026-01-09,Meta Ads,Prospecting,47853,559,386.95,13,1026.99
2026-01-09,Meta Ads,Retargeting,18283,419,376.39,25,2561.7
2026-01-09,TikTok Ads,Lookalike,47848,451,159.95,9,488.39
2026-01-09,TikTok Ads,Prospecting,53785,411,159.34,5,256.69
2026-01-09,TikTok Ads,Retargeting,25422,376,131.15,7,387.08
2026-01-10,Google Ads,Brand Search,5325,459,576.29,62,5589.44
2026-01-10,Google Ads,Lookalike,14019,504,573.32,17,1586.87
2026-01-10,Google Ads,Prospecting,20212,632,815.61,18,1648.53
2026-01-10,Google Ads,Retargeting,7888,472,595.81,45,5315.64
2026-01-10,LinkedIn Ads,Prospecting,13945,67,419.31,4,1588.85
2026-01-10,LinkedIn Ads,Retargeting,4285,50,277.51,3,1227.01
2026-01-10,Meta Ads,Lookalike,28992,376,276.27,9,565.64
2026-01-10,Meta Ads,Prospecting,41861,385,350.8,4,283.39
2026-01-10,Meta Ads,Retargeting,13922,282,230.72,21,1717.15
2026-01-10,TikTok Ads,Lookalike,56479,600,213.66,6,249.17
2026-01-10,TikTok Ads,Prospecting,86037,654,226.13,9,407.94
2026-01-10,TikTok Ads,Retargeting,22478,360,133.83,5,264.92
2026-01-11,Google Ads,Brand Search,4616,369,472.18,32,3175.57
2026-01-11,Google Ads,Lookalike,15954,546,615.3,30,2528.54
2026-01-11,Google Ads,Prospecting,22215,670,728.55,28,2484.49
2026-01-11,Google Ads,Retargeting,8882,639,728.29,56,4716.95
2026-01-11,LinkedIn Ads,Prospecting,15054,91,525.96,3,1034.72
2026-01-11,LinkedIn Ads,Retargeting,4301,42,280.33,3,1156.55
2026-01-11,Meta Ads,Lookalike,21561,271,219.57,5,257.64
2026-01-11,Meta Ads,Prospecting,30025,310,263.56,5,325.45
2026-01-11,Meta Ads,Retargeting,16879,315,280.87,17,1383.14
2026-01-11,TikTok Ads,Lookalike,52867,479,159.36,11,533.42
2026-01-11,TikTok Ads,Prospecting,71455,603,220.69,3,159.73
2026-01-11,TikTok Ads,Retargeting,20545,381,148.93,10,565.45
2026-01-12,Google Ads,Brand Search,5793,496,620.73,66,5083.37
2026-01-12,Google Ads,Lookalike,19310,701,893.73,46,3473.0
2026-01-12,Google Ads,Prospecting,24134,699,711.46,30,2377.24
2026-01-12,Google Ads,Retargeting,10190,575,737.74,40,3727.45
2026-01-12,LinkedIn Ads,Prospecting,17584,90,481.3,2,776.48
2026-01-12,LinkedIn Ads,Retargeting,4233,47,223.8,1,430.2
2026-01-12,Meta Ads,Lookalike,31255,373,278.25,5,351.5
2026-01-12,Meta Ads,Prospecting,51847,623,539.31,8,476.55
2026-01-12,Meta Ads,Retargeting,13087,278,201.28,19,1412.36
2026-01-12,TikTok Ads,Lookalike,50397,492,160.6,8,366.82
2026-01-12,TikTok Ads,Prospecting,77073,549,171.11,5,227.23
2026-01-12,TikTok Ads,Retargeting,28095,432,161.65,12,738.45
2026-01-13,Google Ads,Brand Search,5903,492,528.16,48,5199.78
2026-01-13,Google Ads,Lookalike,16633,621,640.86,28,2098.37
2026-01-13,Google Ads,Prospecting,29129,804,1085.33,28,2454.0
2026-01-13,Google Ads,Retargeting,8549,506,624.35,54,5084.52
2026-01-13,LinkedIn Ads,Prospecting,18494,113,519.1,0,0.0
2026-01-13,LinkedIn Ads,Retargeting,5312,48,248.96,0,0.0
2026-01-13,Meta Ads,Lookalike,34624,431,343.57,15,1039.52
2026-01-13,Meta Ads,Prospecting,50534,480,385.4,13,705.56
2026-01-13,Meta Ads,Retargeting,15382,310,283.07,13,1069.5
2026-01-13,TikTok Ads,Lookalike,55688,563,204.25,10,547.37
2026-01-13,TikTok Ads,Prospecting,72509,622,246.24,4,200.8
2026-01-13,TikTok Ads,Retargeting,29110,480,156.61,20,1187.57
2026-01-14,Google Ads,Brand Search,6786,579,741.68,74,7339.53
2026-01-14,Google Ads,Lookalike,16585,537,774.83,20,1973.17
2026-01-14,Google Ads,Prospecting,29516,888,938.43,34,2715.94
2026-01-14,Google Ads,Retargeting,9458,648,843.71,76,6881.84
2026-01-14,LinkedIn Ads,Prospecting,13347,74,385.14,0,0.0
2026-01-14,LinkedIn Ads,Retargeting,4316,37,203.35,1,422.54
2026-01-14,Meta Ads,Lookalike,39453,536,449.0,17,1314.41
2026-01-14,Meta Ads,Prospecting,68136,726,535.3,15,905.85
2026-01-14,Meta Ads,Retargeting,19110,436,291.06,26,2098.21
2026-01-14,TikTok Ads,Lookalike,52224,522,198.46,10,437.69
2026-01-14,TikTok Ads,Prospecting,63317,521,172.7,2,109.4
2026-01-14,TikTok Ads,Retargeting,29417,505,185.25,22,1299.42
2026-01-15,Google Ads,Brand Search,7184,689,861.71,103,11284.25
2026-01-15,Google Ads,Lookalike,16936,594,671.28,34,2694.6
2026-01-15,Google Ads,Prospecting,31199,948,1347.7,37,2750.66
2026-01-15,Google Ads,Retargeting,11062,643,729.49,52,4418.35
2026-01-15,LinkedIn Ads,Prospecting,16576,75,389.05,1,320.4
2026-01-15,LinkedIn Ads,Retargeting,5217,63,350.51,2,782.57
2026-01-15,Meta Ads,Lookalike,24845,313,215.83,12,851.94
2026-01-15,Meta Ads,Prospecting,52624,592,553.88,12,839.64
2026-01-15,Meta Ads,Retargeting,16684,314,250.7,23,1658.59
2026-01-15,TikTok Ads,Lookalike,57278,613,221.13,16,790.98
2026-01-15,TikTok Ads,Prospecting,92973,811,309.26,12,510.01
2026-01-15,TikTok Ads,Retargeting,21916,331,115.12,4,212.1
2026-01-16,Google Ads,Brand Search,5040,425,518.9,48,5999.54
2026-01-16,Google Ads,Lookalike,17874,739,861.81,30,2125.4
2026-01-16,Google Ads,Prospecting,23952,763,1062.42,21,1504.36
2026-01-16,Google Ads,Retargeting,10924,667,925.69,57,5084.88
2026-01-16,LinkedIn Ads,Prospecting,15160,76,353.91,1,426.68
2026-01-16,LinkedIn Ads,Retargeting,5061,46,216.87,2,793.36
2026-01-16,Meta Ads,Lookalike,35580,456,348.77,13,1055.11
2026-01-16,Meta Ads,Prospecting,66479,695,520.43,11,769.09
2026-01-16,Meta Ads,Retargeting,21543,463,364.38,29,2139.54
2026-01-16,TikTok Ads,Lookalike,37501,391,131.21,4,189.6
2026-01-16,TikTok Ads,Prospecting,67217,518,183.28,8,451.59
2026-01-16,TikTok Ads,Retargeting,26563,426,145.31,11,640.7
2026-01-17,Google Ads,Brand Search,4423,380,486.08,46,5067.93
2026-01-17,Google Ads,Lookalike,12874,606,626.73,37,3182.01
2026-01-17,Google Ads,Prospecting,19208,633,683.17,15,1290.38
2026-01-17,Google Ads,Retargeting,7985,441,632.09,41,3927.95
2026-01-17,LinkedIn Ads,Prospecting,13691,87,551.6,2,638.84
2026-01-17,LinkedIn Ads,Retargeting,4586,46,245.24,2,714.64
2026-01-17,Meta Ads,Lookalike,28575,348,246.66,16,1235.18
2026-01-17,Meta Ads,Prospecting,47404,468,362.16,14,857.91
2026-01-17,Meta Ads,Retargeting,10823,215,188.08,12,996.2
2026-01-17,TikTok Ads,Lookalike,31520,306,117.33,3,139.55
2026-01-17,TikTok Ads,Prospecting,65025,552,233.35,7,332.46
2026-01-17,TikTok Ads,Retargeting,23967,371,123.06,6,316.78
2026-01-18,Google Ads,Brand Search,4744,412,553.78,51,5603.61
2026-01-18,Google Ads,Lookalike,20013,738,952.31,46,3615.07
2026-01-18,Google Ads,Prospecting,18911,560,805.99,16,1206.87
2026-01-18,Google Ads,Retargeting,7031,445,566.6,42,4772.98
2026-01-18,LinkedIn Ads,Prospecting,13602,68,369.57,1,304.19
2026-01-18,LinkedIn Ads,Retargeting,3852,45,256.5,1,429.41
2026-01-18,Meta Ads,Lookalike,39457,516,399.24,17,1348.31
2026-01-18,Meta Ads,Prospecting,39784,421,396.32,9,594.98
2026-01-18,Meta Ads,Retargeting,15260,289,237.27,20,1349.38
2026-01-18,TikTok Ads,Lookalike,33931,337,118.11,4,215.27
2026-01-18,TikTok Ads,Prospecting,64496,482,187.51,4,197.33
2026-01-18,TikTok Ads,Retargeting,27358,487,183.53,11,766.02
2026-01-19,Google Ads,Brand Search,5694,491,678.02,63,5608.98
2026-01-19,Google Ads,Lookalike,17944,633,878.68,26,2109.29
2026-01-19,Google Ads,Prospecting,26776,812,932.73,44,3871.71
2026-01-19,Google Ads,Retargeting,8447,513,654.15,40,4788.74
2026-01-19,LinkedIn Ads,Prospecting,17072,80,451.37,0,0.0
2026-01-19,LinkedIn Ads,Retargeting,5678,72,353.87,1,436.95
2026-01-19,Meta Ads,Lookalike,29810,483,429.29,18,1251.12
2026-01-19,Meta Ads,Prospecting,56146,672,479.98,8,607.58
2026-01-19,Meta Ads,Retargeting,15389,295,215.57,27,2111.28
2026-01-19,TikTok Ads,Lookalike,53664,558,203.53,10,464.98
2026-01-19,TikTok Ads,Prospecting,87477,722,223.04,7,343.78
2026-01-19,TikTok Ads,Retargeting,28939,479,189.32,7,452.52
2026-01-20,Google Ads,Brand Search,6684,559,657.52,60,5426.83
2026-01-20,Google Ads,Lookalike,18229,787,891.29,33,2414.76
2026-01-20,Google Ads,Prospecting,28520,866,1159.67,29,2582.0
2026-01-20,Google Ads,Retargeting,14493,866,1158.28,103,9029.07
2026-01-20,LinkedIn Ads,Prospecting,17877,97,490.33,2,581.03
2026-01-20,LinkedIn Ads,Retargeting,4824,67,403.57,2,686.24
2026-01-20,Meta Ads,Lookalike,31368,456,382.73,15,1084.19
2026-01-20,Meta Ads,Prospecting,41783,383,339.46,8,510.21
2026-01-20,Meta Ads,Retargeting,16921,363,280.21,13,873.54
2026-01-20,TikTok Ads,Lookalike,56364,552,184.72,4,232.6
2026-01-20,TikTok Ads,Prospecting,67844,593,175.78,8,316.01
2026-01-20,TikTok Ads,Retargeting,34508,547,211.94,10,576.26
2026-01-21,Google Ads,Brand Search,7047,605,782.56,85,7787.84
2026-01-21,Google Ads,Lookalike,13627,482,717.27,24,2202.98
2026-01-21,Google Ads,Prospecting,18191,559,686.46,24,1866.26
2026-01-21,Google Ads,Retargeting,12339,703,836.69,52,5057.96
2026-01-21,LinkedIn Ads,Prospecting,12243,71,393.04,0,0.0
2026-01-21,LinkedIn Ads,Retargeting,5326,56,364.62,0,0.0
2026-01-21,Meta Ads,Lookalike,31413,445,484.82,12,884.48
2026-01-21,Meta Ads,Prospecting,48622,502,419.76,14,925.35
2026-01-21,Meta Ads,Retargeting,16999,379,291.13,18,1250.54
2026-01-21,TikTok Ads,Lookalike,54718,566,199.22,8,388.9
2026-01-21,TikTok Ads,Prospecting,93385,746,222.36,4,184.14
2026-01-21,TikTok Ads,Retargeting,31470,545,187.46,13,724.95
2026-01-22,Google Ads,Brand Search,6748,529,672.29,54,5249.05
2026-01-22,Google Ads,Lookalike,22343,799,949.01,47,3588.28
2026-01-22,Google Ads,Prospecting,25735,812,1038.19,34,2836.16
2026-01-22,Google Ads,Retargeting,6885,433,466.92,38,3351.49
